votage,soc
4.069426892,85.59
3.99954831,85.58
4.011246046,85.57
4.07527576,85.58
4.016325326,85.57
3.977999849,85.55
3.922127768,85.53
3.904427246,85.52
3.888573735,85.5
3.90288807,85.49
3.88257095,85.47
3.903811576,85.46
3.92643746,85.44
3.963531597,85.42
4.058036991,85.43
4.10898371,85.45
4.112215979,85.47
4.094361539,85.48
4.059268331,85.5
4.061577095,85.51
4.062654518,85.53
4.073274831,85.54
4.062346683,85.56
4.053727298,85.55
4.040182551,85.53
4.064501529,85.54
4.040182551,85.53
4.040490387,85.52
4.027253475,85.5
4.062192765,85.51
4.050802864,85.5
4.062962353,85.51
4.011399964,85.5
4.001703156,85.49
4.077738441,85.5
4.064501529,85.51
4.053573381,85.5
3.993083772,85.49
3.939828289,85.47
3.923051273,85.46
3.886418889,85.44
3.858713725,85.42
3.844553307,85.41
3.82085,85.39
3.802841643,85.38
3.788989061,85.36
3.778522666,85.35
3.798993704,85.33
3.78714205,85.32
3.766671012,85.3
3.749432243,85.28
3.730500381,85.27
3.723728007,85.25
3.728807287,85.24
3.746507809,85.22
3.748508738,85.21
3.792067413,85.19
3.836395676,85.17
3.853018774,85.16
3.876414246,85.14
4.050956782,85.15
4.11529433,85.17
4.117757012,85.18
4.12360588,85.2
4.127145984,85.22
4.110522885,85.23
4.088820507,85.25
4.070350397,85.26
4.034487601,85.25
3.95060252,85.24
3.90288807,85.22
3.885803219,85.21
3.843475884,85.19
3.818079484,85.17
3.803149479,85.16
3.778984418,85.14
3.774059056,85.13
3.78591071,85.11
3.782216688,85.1
3.759436886,85.08
3.759436886,85.07
3.749586161,85.05
3.735887496,85.03
3.71849481,85.02
3.710029343,85
3.709259755,84.99
3.726344606,84.97
3.859791148,84.96
4.024021205,84.97
4.03833554,84.98
4.073582666,85
4.064193694,85.01
4.024329041,85
4.057113485,85.01
4.033410178,85
4.027869145,84.99
4.032794508,84.97
4.024790793,84.96
4.06126926,84.97
4.058344826,84.98
4.013862645,84.97
4.019403678,84.96
4.015863574,84.94
4.07527576,84.95
4.069119056,84.97
4.085896073,84.98
4.118988352,85
4.111600308,85.01
4.069888644,85.03
4.060499672,85.04
4.016940997,85.03
4.002010992,85.02
3.991544596,85
3.983540882,84.99
3.942290971,84.97
3.94105963,84.96
3.965070772,84.94
4.050187194,84.95
3.961684586,84.94
3.948601591,84.92
3.935826432,84.91
3.977384179,84.89
3.962762009,84.88
3.957528811,84.86
4.005705013,84.85
4.054342969,84.86
3.991852431,84.85
3.946292828,84.83
3.947832004,84.82
3.933979421,84.8
4.010938211,84.78
4.05742132,84.79
4.123913715,84.81
4.118218764,84.83
4.108214122,84.84
4.058036991,84.86
4.039874716,84.85
3.948293756,84.83
3.927514883,84.82
3.890112911,84.8
3.867487027,84.78
3.852403104,84.77
3.82592928,84.75
3.818849072,84.74
3.803765149,84.72
3.792375248,84.71
3.818079484,84.69
3.862715582,84.67
3.890882499,84.66
3.99446903,84.64
3.975075415,84.63
4.004473673,84.61
4.044030491,84.62
4.013400892,84.61
3.998009135,84.6
4.030947497,84.58
4.020019348,84.57
4.015555739,84.55
3.981693871,84.53
3.979539025,84.52
4.000779651,84.5
3.997239547,84.49
3.984618305,84.47
3.992775937,84.46
3.988158409,84.44
3.991852431,84.42
4.043260903,84.43
4.122990209,84.45
4.1299165,84.47
4.125452891,84.48
4.096824221,84.5
4.0765071,84.51
3.968764794,84.5
3.943368394,84.49
3.896115697,84.47
3.843937637,84.46
3.797916281,84.44
3.778830501,84.42
3.764670084,84.41
3.721573161,84.39
3.732963062,84.38
3.720649656,84.36
3.725113266,84.35
3.717571304,84.33
3.71464687,84.32
3.714492953,84.3
3.712953777,84.28
3.719418315,84.27
3.707720579,84.25
3.707104909,84.24
3.706181403,84.22
3.704334392,84.21
3.703410887,84.19
3.701102123,84.17
3.702179546,84.16
3.698793359,84.14
3.707104909,84.13
3.696330678,84.11
3.697254184,84.1
3.694791502,84.08
3.694175832,84.07
4.051572452,84.08
4.030023991,84.09
